ZEIT,RAUM,MERKMAL,WERT
31.12.2006,11 Aegidii,Deutsche mit persönlicher Migrationsvorgeschichte,93
31.12.2006,11 Aegidii,Deutsche mit vererbter Migrationsvorgeschichte,17
31.12.2006,11 Aegidii,Deutsche ohne erkennbare Migrationsvorgeschichte,1166
31.12.2006,12 Überwasser,Ausländer,119
31.12.2006,12 Überwasser,Deutsche mit persönlicher Migrationsvorgeschichte,81
31.12.2006,12 Überwasser,Deutsche mit vererbter Migrationsvorgeschichte,14
31.12.2006,12 Überwasser,Deutsche ohne erkennbare Migrationsvorgeschichte,1048
31.12.2006,13 Dom,Ausländer,145
31.12.2006,13 Dom,Deutsche mit persönlicher Migrationsvorgeschichte,136
31.12.2006,13 Dom,Deutsche mit vererbter Migrationsvorgeschichte,19
31.12.2006,13 Dom,Deutsche ohne erkennbare Migrationsvorgeschichte,1752
31.12.2006,14 Buddenturm,Ausländer,167
31.12.2006,14 Buddenturm,Deutsche mit persönlicher Migrationsvorgeschichte,143
31.12.2006,14 Buddenturm,Deutsche mit vererbter Migrationsvorgeschichte,30
31.12.2006,14 Buddenturm,Deutsche ohne erkennbare Migrationsvorgeschichte,1846
31.12.2006,15 Martini,Ausländer,108
31.12.2006,15 Martini,Deutsche mit persönlicher Migrationsvorgeschichte,77
31.12.2006,15 Martini,Deutsche mit vererbter Migrationsvorgeschichte,13
31.12.2006,15 Martini,Deutsche ohne erkennbare Migrationsvorgeschichte,1078
31.12.2006,21 Pluggendorf,Ausländer,302
31.12.2006,21 Pluggendorf,Deutsche mit persönlicher Migrationsvorgeschichte,267
31.12.2006,21 Pluggendorf,Deutsche mit vererbter Migrationsvorgeschichte,24
31.12.2006,21 Pluggendorf,Deutsche ohne erkennbare Migrationsvorgeschichte,3228
31.12.2006,22 Josef,Ausländer,597
31.12.2006,22 Josef,Deutsche mit persönlicher Migrationsvorgeschichte,435
31.12.2006,22 Josef,Deutsche mit vererbter Migrationsvorgeschichte,86
31.12.2006,22 Josef,Deutsche ohne erkennbare Migrationsvorgeschichte,6709
31.12.2006,23 Bahnhof,Ausländer,106
31.12.2006,23 Bahnhof,Deutsche mit persönlicher Migrationsvorgeschichte,81
31.12.2006,23 Bahnhof,Deutsche mit vererbter Migrationsvorgeschichte,9
31.12.2006,23 Bahnhof,Deutsche ohne erkennbare Migrationsvorgeschichte,812
31.12.2006,24 Hansaplatz,Ausländer,434
31.12.2006,24 Hansaplatz,Deutsche mit persönlicher Migrationsvorgeschichte,379
31.12.2006,24 Hansaplatz,Deutsche mit vererbter Migrationsvorgeschichte,98
31.12.2006,24 Hansaplatz,Deutsche ohne erkennbare Migrationsvorgeschichte,5367
31.12.2006,25 Mauritz-West,Ausländer,304
31.12.2006,25 Mauritz-West,Deutsche mit persönlicher Migrationsvorgeschichte,290
31.12.2006,25 Mauritz-West,Deutsche mit vererbter Migrationsvorgeschichte,54
31.12.2006,25 Mauritz-West,Deutsche ohne erkennbare Migrationsvorgeschichte,4980
31.12.2006,26 Schlachthof,Ausländer,298
31.12.2006,26 Schlachthof,Deutsche mit persönlicher Migrationsvorgeschichte,434
31.12.2006,26 Schlachthof,Deutsche mit vererbter Migrationsvorgeschichte,173
31.12.2006,26 Schlachthof,Deutsche ohne erkennbare Migrationsvorgeschichte,3830
31.12.2006,27 Kreuz,Ausländer,519
31.12.2006,27 Kreuz,Deutsche mit persönlicher Migrationsvorgeschichte,579
31.12.2006,27 Kreuz,Deutsche mit vererbter Migrationsvorgeschichte,133
31.12.2006,27 Kreuz,Deutsche ohne erkennbare Migrationsvorgeschichte,10361
31.12.2006,28 Neutor,Ausländer,415
31.12.2006,28 Neutor,Deutsche mit persönlicher Migrationsvorgeschichte,261
31.12.2006,28 Neutor,Deutsche mit vererbter Migrationsvorgeschichte,66
31.12.2006,28 Neutor,Deutsche ohne erkennbare Migrationsvorgeschichte,2981
31.12.2006,29 Schloss,Ausländer,181
31.12.2006,29 Schloss,Deutsche mit persönlicher Migrationsvorgeschichte,101
31.12.2006,29 Schloss,Deutsche mit vererbter Migrationsvorgeschichte,24
31.12.2006,29 Schloss,Deutsche ohne erkennbare Migrationsvorgeschichte,1562
31.12.2006,31 Aaseestadt,Ausländer,567
31.12.2006,31 Aaseestadt,Deutsche mit persönlicher Migrationsvorgeschichte,603
