Jahr,Rang,Geschlecht,Name,Anzahl
2007,1,Mädchen,Marie,115
2007,2,Mädchen,Sophie,93
2007,3,Mädchen,Maria,70
2007,4,Mädchen,Johanna,57
2007,5,Mädchen,Anna,54
2007,6,Mädchen,Charlotte,48
2007,7,Mädchen,Mia,41
2007,8,Mädchen,Sophia,35
2007,9,Mädchen,Katharina,30
2007,10,Mädchen,Lina,29
2007,11,Mädchen,Leonie,28
2007,12,Mädchen,Elisabeth,27
2007,13,Mädchen,Hannah,27
2007,14,Mädchen,Emma,26
2007,15,Mädchen,Laura,26
2007,16,Mädchen,Lena,26
2007,17,Mädchen,Luisa,24
2007,18,Mädchen,Antonia,23
2007,19,Mädchen,Greta,23
2007,20,Mädchen,Lara,23
2007,21,Mädchen,Clara,22
2007,22,Mädchen,Sarah,22
2007,23,Mädchen,Franziska,21
2007,24,Mädchen,Lea,20
2007,25,Mädchen,Jana,19
2007,26,Mädchen,Luise,19
2007,27,Mädchen,Emily,18
2007,28,Mädchen,Pauline,17
2007,29,Mädchen,Theresa,17
2007,30,Mädchen,Emilia,16
2007,1,Junge,Leon,51
2007,2,Junge,Paul,45
2007,3,Junge,Alexander,44
2007,4,Junge,Jan,42
2007,5,Junge,Lukas,38
2007,6,Junge,Max,34
2007,7,Junge,Maximilian,34
2007,8,Junge,Felix,33
2007,9,Junge,Niklas,33
2007,10,Junge,Ben,32
2007,11,Junge,Elias,31
2007,12,Junge,Noah,29
2007,13,Junge,Johannes,27
2007,14,Junge,Jonas,27
2007,15,Junge,Linus,27
2007,16,Junge,Tim,27
2007,17,Junge,Daniel,26
2007,18,Junge,Julian,26
2007,19,Junge,Julius,24
2007,20,Junge,Moritz,24
2007,21,Junge,David,23
2007,22,Junge,Jakob,23
2007,23,Junge,Luca,23
2007,24,Junge,Luis,23
2007,25,Junge,Philipp,23
2007,26,Junge,Christian,22
2007,27,Junge,Leo,21
2007,28,Junge,Finn,20
2007,29,Junge,Justus,20
2007,30,Junge,Leonard,20
2008,1,Mädchen,Marie,109
2008,2,Mädchen,Sophie,93
2008,3,Mädchen,Johanna,54
2008,4,Mädchen,Maria,48
2008,5,Mädchen,Anna,41
2008,6,Mädchen,Katharina,38
2008,7,Mädchen,Charlotte,36
2008,8,Mädchen,Emma,36
2008,9,Mädchen,Lea,36
2008,10,Mädchen,Lena,35
2008,11,Mädchen,Greta,33
2008,12,Mädchen,Antonia,27
2008,13,Mädchen,Sophia,27
2008,14,Mädchen,Lara,26
2008,15,Mädchen,Leonie,26
2008,16,Mädchen,Elisabeth,25
2008,17,Mädchen,Emilia,24
2008,18,Mädchen,Julia,23
2008,19,Mädchen,Mia,23
2008,20,Mädchen,Franziska,22
2008,21,Mädchen,Marlene,21
2008,22,Mädchen,Sarah,21
2008,23,Mädchen,Finja,20
2008,24,Mädchen,Pia,20
2008,25,Mädchen,Hannah,19
2008,26,Mädchen,Lina,19
2008,27,Mädchen,Emily,18
2008,28,Mädchen,Leni,18
2008,29,Mädchen,Luisa,18
2008,30,Mädchen,Jana,16
2008,1,Junge,Paul,53
2008,2,Junge,Maximilian,50
2008,3,Junge,Felix,43
2008,4,Junge,Jonas,42
2008,5,Junge,Luca,40
2008,6,Junge,Ben,39
2008,7,Junge,Leon,36
2008,8,Junge,Tim,35
2008,9,Junge,Jan,34
2008,10,Junge,Julian,34
2008,11,Junge,Justus,34
2008,12,Junge,Alexander,33
2008,13,Junge,Lukas,33
2008,14,Junge,Finn,32
2008,15,Junge,Moritz,32
2008,16,Junge,Johannes,30
2008,17,Junge,Max,28
2008,18,Junge,Ole,28
2008,19,Junge,David,27
2008,20,Junge,Simon,27
2008,21,Junge,Jakob,26
2008,22,Junge,Anton,25
2008,23,Junge,Julius,25
2008,24,Junge,Linus,25
2008,25,Junge,Noah,25
2008,26,Junge,Hannes,23
2008,27,Junge,Henri,23
2008,28,Junge,Tom,23
